DATE,STATION_NUMBER,DISCHARGE
2008-01-01,07GJ001,55.0
2008-01-02,07GJ001,53.0
2008-01-03,07GJ001,53.5
2008-01-04,07GJ001,55.0
2008-01-05,07GJ001,57.5
2008-01-06,07GJ001,60.0
2008-01-07,07GJ001,59.0
2008-01-08,07GJ001,55.0
2008-01-09,07GJ001,50.0
2008-01-10,07GJ001,44.0
2008-01-11,07GJ001,41.0
2008-01-12,07GJ001,41.20000076293945
2008-01-13,07GJ001,41.59999847412109
2008-01-14,07GJ001,43.0
2008-01-15,07GJ001,44.0
2008-01-16,07GJ001,45.59999847412109
2008-01-17,07GJ001,44.900001525878906
2008-01-18,07GJ001,44.59999847412109
2008-01-19,07GJ001,44.5
2008-01-20,07GJ001,43.5
2008-01-21,07GJ001,42.5
2008-01-22,07GJ001,43.0
2008-01-23,07GJ001,43.400001525878906
2008-01-24,07GJ001,43.20000076293945
2008-01-25,07GJ001,41.5
2008-01-26,07GJ001,39.400001525878906
2008-01-27,07GJ001,39.59999847412109
2008-01-28,07GJ001,40.5
2008-01-29,07GJ001,40.79999923706055
2008-01-30,07GJ001,40.09999847412109
2008-01-31,07GJ001,39.0
2008-02-01,07GJ001,38.79999923706055
2008-02-02,07GJ001,36.29999923706055
2008-02-03,07GJ001,35.20000076293945
2008-02-04,07GJ001,34.29999923706055
2008-02-05,07GJ001,35.29999923706055
2008-02-06,07GJ001,36.20000076293945
2008-02-07,07GJ001,36.59999847412109
2008-02-08,07GJ001,36.70000076293945
2008-02-09,07GJ001,36.29999923706055
2008-02-10,07GJ001,35.900001525878906
2008-02-11,07GJ001,35.400001525878906
2008-02-12,07GJ001,35.0
2008-02-13,07GJ001,34.5
2008-02-14,07GJ001,33.400001525878906
2008-02-15,07GJ001,33.20000076293945
2008-02-16,07GJ001,33.70000076293945
2008-02-17,07GJ001,34.400001525878906
2008-02-18,07GJ001,34.79999923706055
2008-02-19,07GJ001,35.400001525878906
2008-02-20,07GJ001,36.20000076293945
2008-02-21,07GJ001,36.400001525878906
2008-02-22,07GJ001,36.59999847412109
2008-02-23,07GJ001,36.900001525878906
2008-02-24,07GJ001,37.29999923706055
2008-02-25,07GJ001,37.400001525878906
2008-02-26,07GJ001,37.900001525878906
2008-02-27,07GJ001,38.09999847412109
2008-02-28,07GJ001,38.5
2008-02-29,07GJ001,38.900001525878906
2008-03-01,07GJ001,39.29999923706055
2008-03-02,07GJ001,39.400001525878906
2008-03-03,07GJ001,39.900001525878906
2008-03-04,07GJ001,39.79999923706055
2008-03-05,07GJ001,40.400001525878906
2008-03-06,07GJ001,41.0
2008-03-07,07GJ001,40.900001525878906
2008-03-08,07GJ001,40.59999847412109
2008-03-09,07GJ001,41.70000076293945
2008-03-10,07GJ001,41.79999923706055
2008-03-11,07GJ001,43.09999847412109
2008-03-12,07GJ001,44.79999923706055
2008-03-13,07GJ001,45.59999847412109
2008-03-14,07GJ001,46.0
2008-03-15,07GJ001,45.79999923706055
2008-03-16,07GJ001,46.0
2008-03-17,07GJ001,45.400001525878906
2008-03-18,07GJ001,43.70000076293945
2008-03-19,07GJ001,43.59999847412109
2008-03-20,07GJ001,44.59999847412109
2008-03-21,07GJ001,44.09999847412109
2008-03-22,07GJ001,44.59999847412109
2008-03-23,07GJ001,45.400001525878906
2008-03-24,07GJ001,46.0
2008-03-25,07GJ001,46.09999847412109
2008-03-26,07GJ001,46.59999847412109
2008-03-27,07GJ001,46.70000076293945
2008-03-28,07GJ001,46.79999923706055
2008-03-29,07GJ001,46.400001525878906
2008-03-30,07GJ001,45.400001525878906
2008-03-31,07GJ001,44.70000076293945
2008-04-01,07GJ001,43.5
2008-04-02,07GJ001,42.900001525878906
2008-04-03,07GJ001,43.29999923706055
2008-04-04,07GJ001,44.400001525878906
2008-04-05,07GJ001,47.400001525878906
2008-04-06,07GJ001,56.70000076293945
2008-04-07,07GJ001,71.5
2008-04-08,07GJ001,90.5
2008-04-09,07GJ001,107.0
2008-04-10,07GJ001,127.0
2008-04-11,07GJ001,144.0
2008-04-12,07GJ001,165.0
2008-04-13,07GJ001,260.0
2008-04-14,07GJ001,302.0
2008-04-15,07GJ001,274.0
2008-04-16,07GJ001,239.0
2008-04-17,07GJ001,234.0
2008-04-18,07GJ001,233.0
2008-04-19,07GJ001,214.0
2008-04-20,07GJ001,178.0
2008-04-21,07GJ001,131.0
2008-04-22,07GJ001,129.0
2008-04-23,07GJ001,133.0
2008-04-24,07GJ001,137.0
2008-04-25,07GJ001,147.0
2008-04-26,07GJ001,153.0
2008-04-27,07GJ001,159.0
2008-04-28,07GJ001,172.0
2008-04-29,07GJ001,242.0
2008-04-30,07GJ001,345.0
2008-05-01,07GJ001,628.0
2008-05-02,07GJ001,810.0
2008-05-03,07GJ001,776.0
2008-05-04,07GJ001,754.0
2008-05-05,07GJ001,778.0
2008-05-06,07GJ001,767.0
2008-05-07,07GJ001,741.0
2008-05-08,07GJ001,720.0
2008-05-09,07GJ001,886.0
2008-05-10,07GJ001,946.0
2008-05-11,07GJ001,861.0
2008-05-12,07GJ001,822.0
2008-05-13,07GJ001,807.0
2008-05-14,07GJ001,756.0
2008-05-15,07GJ001,745.0
2008-05-16,07GJ001,743.0
2008-05-17,07GJ001,1010.0
2008-05-18,07GJ001,1230.0
2008-05-19,07GJ001,1400.0
2008-05-20,07GJ001,1440.0
2008-05-21,07GJ001,1270.0
2008-05-22,07GJ001,1340.0
2008-05-23,07GJ001,1240.0
2008-05-24,07GJ001,1200.0
2008-05-25,07GJ001,1460.0
2008-05-26,07GJ001,1430.0
2008-05-27,07GJ001,1270.0
2008-05-28,07GJ001,1190.0
2008-05-29,07GJ001,1180.0
2008-05-30,07GJ001,1260.0
2008-05-31,07GJ001,1250.0
2008-06-01,07GJ001,1200.0
2008-06-02,07GJ001,1160.0
2008-06-03,07GJ001,1120.0
2008-06-04,07GJ001,1110.0
2008-06-05,07GJ001,1140.0
2008-06-06,07GJ001,1140.0
2008-06-07,07GJ001,1080.0
2008-06-08,07GJ001,1050.0
2008-06-09,07GJ001,1030.0
2008-06-10,07GJ001,996.0
2008-06-11,07GJ001,893.0
2008-06-12,07GJ001,813.0
2008-06-13,07GJ001,787.0
2008-06-14,07GJ001,783.0
2008-06-15,07GJ001,768.0
2008-06-16,07GJ001,684.0
2008-06-17,07GJ001,618.0
2008-06-18,07GJ001,608.0
2008-06-19,07GJ001,659.0
2008-06-20,07GJ001,650.0
2008-06-21,07GJ001,608.0
2008-06-22,07GJ001,572.0
2008-06-23,07GJ001,561.0
2008-06-24,07GJ001,599.0
2008-06-25,07GJ001,572.0
2008-06-26,07GJ001,516.0
2008-06-27,07GJ001,496.0
2008-06-28,07GJ001,467.0
2008-06-29,07GJ001,436.0
2008-06-30,07GJ001,459.0
2008-07-01,07GJ001,557.0
2008-07-02,07GJ001,586.0
2008-07-03,07GJ001,602.0
2008-07-04,07GJ001,638.0
2008-07-05,07GJ001,606.0
2008-07-06,07GJ001,596.0
2008-07-07,07GJ001,563.0
2008-07-08,07GJ001,586.0
2008-07-09,07GJ001,515.0
2008-07-10,07GJ001,438.0
2008-07-11,07GJ001,424.0
2008-07-12,07GJ001,402.0
2008-07-13,07GJ001,347.0
2008-07-14,07GJ001,315.0
2008-07-15,07GJ001,311.0
2008-07-16,07GJ001,329.0
2008-07-17,07GJ001,313.0
2008-07-18,07GJ001,296.0
2008-07-19,07GJ001,290.0
2008-07-20,07GJ001,297.0
2008-07-21,07GJ001,282.0
2008-07-22,07GJ001,270.0
2008-07-23,07GJ001,282.0
2008-07-24,07GJ001,291.0
2008-07-25,07GJ001,269.0
2008-07-26,07GJ001,249.0
2008-07-27,07GJ001,236.0
2008-07-28,07GJ001,229.0
2008-07-29,07GJ001,225.0
2008-07-30,07GJ001,222.0
2008-07-31,07GJ001,212.0
2008-08-01,07GJ001,200.0
2008-08-02,07GJ001,201.0
2008-08-03,07GJ001,194.0
2008-08-04,07GJ001,191.0
2008-08-05,07GJ001,184.0
2008-08-06,07GJ001,179.0
2008-08-07,07GJ001,174.0
2008-08-08,07GJ001,173.0
2008-08-09,07GJ001,173.0
2008-08-10,07GJ001,177.0
2008-08-11,07GJ001,178.0
2008-08-12,07GJ001,180.0
2008-08-13,07GJ001,180.0
2008-08-14,07GJ001,183.0
2008-08-15,07GJ001,176.0
2008-08-16,07GJ001,173.0
2008-08-17,07GJ001,173.0
2008-08-18,07GJ001,179.0
2008-08-19,07GJ001,184.0
2008-08-20,07GJ001,185.0
2008-08-21,07GJ001,204.0
2008-08-22,07GJ001,238.0
2008-08-23,07GJ001,262.0
2008-08-24,07GJ001,273.0
2008-08-25,07GJ001,277.0
2008-08-26,07GJ001,246.0
2008-08-27,07GJ001,233.0
2008-08-28,07GJ001,218.0
2008-08-29,07GJ001,192.0
2008-08-30,07GJ001,182.0
2008-08-31,07GJ001,190.0
2008-09-01,07GJ001,225.0
2008-09-02,07GJ001,222.0
2008-09-03,07GJ001,200.0
2008-09-04,07GJ001,184.0
2008-09-05,07GJ001,173.0
2008-09-06,07GJ001,166.0
2008-09-07,07GJ001,157.0
2008-09-08,07GJ001,154.0
2008-09-09,07GJ001,155.0
2008-09-10,07GJ001,151.0
2008-09-11,07GJ001,144.0
2008-09-12,07GJ001,149.0
2008-09-13,07GJ001,144.0
2008-09-14,07GJ001,161.0
2008-09-15,07GJ001,186.0
2008-09-16,07GJ001,168.0
2008-09-17,07GJ001,155.0
2008-09-18,07GJ001,146.0
2008-09-19,07GJ001,140.0
2008-09-20,07GJ001,135.0
2008-09-21,07GJ001,130.0
2008-09-22,07GJ001,130.0
2008-09-23,07GJ001,131.0
2008-09-24,07GJ001,153.0
2008-09-25,07GJ001,143.0
2008-09-26,07GJ001,134.0
2008-09-27,07GJ001,131.0
2008-09-28,07GJ001,136.0
2008-09-29,07GJ001,137.0
2008-09-30,07GJ001,144.0
2008-10-01,07GJ001,141.0
2008-10-02,07GJ001,135.0
2008-10-03,07GJ001,131.0
2008-10-04,07GJ001,127.0
2008-10-05,07GJ001,126.0
2008-10-06,07GJ001,128.0
2008-10-07,07GJ001,123.0
2008-10-08,07GJ001,119.0
2008-10-09,07GJ001,114.0
2008-10-10,07GJ001,110.0
2008-10-11,07GJ001,109.0
2008-10-12,07GJ001,104.0
2008-10-13,07GJ001,100.0
2008-10-14,07GJ001,96.5
2008-10-15,07GJ001,96.0999984741211
